Section,Sub-Section,Given Data Type,Expected Data Type,Given Length,Expected MaxLength,Error Code
L1,L11,digits,digits,1,1,E01
L1,L12,others,word_characters,2,3,E02
L1,L13,,word_characters,,2,E05
L2,L21,word_characters,word_characters,1,1,E01
L2,L22,digits,digits,1,1,E01
L2,L23,digits,word_characters,2,2,E02
L1,L11,word_characters,digits,2,1,E04
L1,L12,word_characters,word_characters,3,3,E01
L1,L13,others,word_characters,0,2,E04
L3,L31,others,word_characters,2,1,E04
L4,L41,others,word_characters,2,1,E04
L4,L42,others,digits,6,6,E02
